CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude,Day
19053499,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,UNIVERSITY AV & CURTIS ST,2019-09-21 23:22:00,37.869488,-122.289522,Saturday
19092729,BURGLARY AUTO,BURGLARY - VEHICLE,2900 ADELINE ST,2019-11-30 14:05:00,37.856121,-122.26876,Saturday
19057978,ROBBERY,ROBBERY,2500 DURANT AV,2019-10-12 18:45:00,37.867852,-122.258699,Saturday
19092281,BURGLARY AUTO,BURGLARY - VEHICLE,2300 SHATTUCK AV,2019-10-19 21:50:00,37.867176,-122.267802,Saturday
19056407,NARCOTICS,DRUG VIOLATION,2000 BERKELEY WY,2019-10-05 11:59:00,37.872691,-122.270741,Saturday
19060951,VANDALISM,VANDALISM,1700 ARCH ST,2019-10-26 15:20:00,37.877636,-122.264323,Saturday
19069389,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1400 SIXTH ST,2019-12-07 14:30:00,37.877417,-122.300713,Saturday
19049304,FRAUD/FORGERY,FRAUD,200 MARINA BL,2019-07-27 12:00:00,37.868667,-122.313656,Saturday
19042731,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1300 WALNUT ST,2019-08-03 15:30:00,37.883798,-122.268567,Saturday
19035496,THEFT MISD. (UNDER $950),LARCENY,1200 SAN PABLO AV,2019-06-29 18:15:00,37.882033,-122.296381,Saturday
19091620,BURGLARY AUTO,BURGLARY - VEHICLE,CHANNING WY & COLLEGE AV,2019-08-10 21:20:00,37.867482,-122.254253,Saturday
19092668,VANDALISM,VANDALISM,2100 SIXTH ST,2019-11-30 02:25:00,37.866563,-122.297217,Saturday
19055291,VANDALISM,VANDALISM,2800 7TH ST,2019-09-28 00:00:00,37.855076,-122.292412,Saturday
19070771,THEFT MISD. (UNDER $950),LARCENY,2000 KITTREDGE ST,2019-12-14 12:30:00,37.868204,-122.270054,Saturday
19091495,THEFT MISD. (UNDER $950),LARCENY,1400 UNIVERSITY AV,2019-07-27 08:30:00,37.870054,-122.284263,Saturday
19044016,GUN/WEAPON,WEAPONS OFFENSE,DWIGHT WY & TELEGRAPH AV,2019-08-10 00:33:00,37.865121,-122.258455,Saturday
19062448,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1500 UNIVERSITY AV,2019-11-02 17:10:00,37.870396,-122.281585,Saturday
19059322,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,900 GILMAN ST,2019-10-19 01:00:00,37.879677,-122.299779,Saturday
19092203,BURGLARY AUTO,BURGLARY - VEHICLE,1700 SOLANO AVE,2019-10-12 05:10:00,37.891214,-122.282158,Saturday
19069364,THEFT FROM PERSON,LARCENY,2200 SHATTUCK AV,2019-12-07 14:50:00,37.869363,-122.268028,Saturday
19046850,SEXUAL ASSAULT FEL.,SEX CRIME,1900 OREGON ST,2019-08-17 08:00:00,37.857054,-122.271393,Saturday
19059528,ROBBERY,ROBBERY,2800 ADELINE ST,2019-10-19 23:20:00,37.858116,-122.268002,Saturday
19055569,BURGLARY AUTO,BURGLARY - VEHICLE,ADDISON STREET & 4TH ST,2019-09-28 00:00:00,37.866253,-122.299483,Saturday
19051924,SEXUAL ASSAULT FEL.,SEX CRIME,COLLEGE AV & BANCROFT WY,2019-09-14 21:16:00,37.869284,-122.254556,Saturday
19092746,BURGLARY AUTO,BURGLARY - VEHICLE,2200 SHATTUCK AV,2019-12-07 13:41:00,37.869363,-122.268028,Saturday
19048978,2ND RESPONSE,NOISE VIOLATION,2700 DANA ST,2019-08-31 23:52:00,37.861118,-122.259948,Saturday
19042934,THEFT MISD. (UNDER $950),LARCENY,2400 SAN PABLO AV,2019-08-03 17:00:00,37.862512,-122.290094,Saturday
19050469,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1000 MILLER AVE,2019-09-07 21:15:00,37.894233,-122.260552,Saturday
19053107,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2700 DANA ST,2019-07-13 07:00:00,37.861118,-122.259948,Saturday
19065244,ASSAULT/BATTERY FEL.,ASSAULT,2300 HASTE ST,2019-11-16 11:53:00,37.865443,-122.263189,Saturday
19091328,THEFT FELONY (OVER $950),LARCENY,2300 MCKINLEY AV,2019-07-06 23:40:00,37.866842,-122.27366,Saturday
19060931,ASSAULT/BATTERY MISD.,ASSAULT,1000 DELAWARE ST,2019-10-26 14:32:00,37.871265,-122.295043,Saturday
19053266,GUN/WEAPON,WEAPONS OFFENSE,1300 TENTH ST,2019-09-21 01:59:00,37.879968,-122.296885,Saturday
19038083,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1400 ORDWAY ST,2019-07-13 09:00:00,37.878737,-122.287386,Saturday
19058018,BURGLARY AUTO,BURGLARY - VEHICLE,200 UNIVERSITY AV,2019-10-12 19:15:00,37.865511,-122.309967,Saturday
19091880,BURGLARY AUTO,BURGLARY - VEHICLE,2000 5TH ST,2019-09-07 22:00:00,37.867271,-122.298682,Saturday
19091746,THEFT MISD. (UNDER $950),LARCENY,1800 FOURTH ST,2019-08-24 16:30:00,37.869888,-122.300618,Saturday
19042641,BURGLARY AUTO,BURGLARY - VEHICLE,HASTE STREET & ELLSWORTH ST,2019-08-03 20:06:00,37.865443,-122.263189,Saturday
19047156,NARCOTICS,DRUG VIOLATION,2800 PARK ST,2019-08-24 00:40:00,37.8559,-122.283101,Saturday
19053469,NARCOTICS,DRUG VIOLATION,2000 SHATTUCK AV,2019-09-21 20:51:00,37.8719,-122.268389,Saturday
19065333,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2000 HEARST AV,2019-11-16 00:00:00,37.873639,-122.27064,Saturday
19091296,THEFT FELONY (OVER $950),LARCENY,1000 DELAWARE ST,2019-06-29 11:30:00,37.871265,-122.295043,Saturday
19048947,ARSON,ARSON,CALIFORNIA STREET & 63RD ST,2019-08-31 21:00:00,37.847262,-122.275622,Saturday
19055015,THEFT FELONY (OVER $950),LARCENY,1900 SHATTUCK AV,2019-09-28 20:15:00,37.873687,-122.268616,Saturday
19092582,IDENTITY THEFT,FRAUD,2200 PARKER ST,2019-11-16 18:00:00,37.862491,-122.2646,Saturday
19038080,ROBBERY,ROBBERY,1900 SHATTUCK AV,2019-07-13 11:20:00,37.873687,-122.268616,Saturday
19044229,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,FULTON STREET & DWIGHT WY,2019-08-10 22:56:00,37.864238,-122.265263,Saturday
19057943,THEFT MISD. (UNDER $950),LARCENY,200 MARINA,2019-10-12 09:00:00,37.868667,-122.313656,Saturday
19038076,DOMESTIC VIOLENCE,FAMILY OFFENSE,3000 SAN PABLO AV,2019-07-13 10:54:00,37.851919,-122.286667,Saturday
19051830,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2100 TENTH ST,2019-09-14 09:00:00,37.867108,-122.292737,Saturday
19040930,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,WOOLSEY STREET & COLLEGE AV,2019-07-27 01:44:00,37.853896,-122.252739,Saturday
19038350,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1700 SPRUCE ST,2019-07-13 22:30:00,37.876921,-122.265567,Saturday
19038219,IDENTITY THEFT,FRAUD,1400 EASTSHORE DR,2019-07-13 23:52:00,37.876085,-122.306138,Saturday
19060017,THEFT MISD. (UNDER $950),LARCENY,2200 SHATTUCK AV,2019-10-19 17:30:00,37.869363,-122.268028,Saturday
19039535,ASSAULT/BATTERY FEL.,ASSAULT,700 HARRISON ST,2019-07-20 06:30:00,37.88055,-122.304962,Saturday
19036678,THEFT FROM AUTO,LARCENY - FROM VEHICLE,100 SEAWALL DR,2019-07-06 09:45:00,37.863611,-122.317566,Saturday
19059436,BURGLARY AUTO,BURGLARY - VEHICLE,200 UNIVERSITY AV,2019-10-19 12:00:00,37.865511,-122.309967,Saturday
19092065,BURGLARY AUTO,BURGLARY - VEHICLE,100 SEAWALL DR,2019-09-28 19:15:00,37.863611,-122.317566,Saturday
19036652,DOMESTIC VIOLENCE,FAMILY OFFENSE,1900 SAN PABLO AV,2019-07-06 03:55:00,37.870205,-122.292581,Saturday
19052699,THEFT FELONY (OVER $950),LARCENY,1100 SECOND ST,2019-08-24 09:30:00,37.880971,-122.306626,Saturday
19051932,SEXUAL ASSAULT FEL.,SEX CRIME,2000 SHATTUCK AVE,2019-09-14 15:00:00,37.8719,-122.268389,Saturday
19054446,THEFT MISD. (UNDER $950),LARCENY,3132 MARTIN LUTHER KING JR,2019-09-21 14:00:00,37.851032,-122.270787,Saturday
19055579,THEFT FELONY (OVER $950),LARCENY,2100 TENTH ST,2019-09-28 12:00:00,37.867108,-122.292737,Saturday
19036737,DOMESTIC VIOLENCE,FAMILY OFFENSE,I 80 HIGHWAY &GILLMAN ST,2019-07-06 18:04:00,,,Saturday
19058017,VEHICLE RECOVERED,RECOVERED VEHICLE,800 POTTER ST,2019-10-12 22:52:00,37.850798,-122.294689,Saturday
19069457,BURGLARY AUTO,BURGLARY - VEHICLE,2600 WEBSTER ST,2019-12-07 18:15:00,37.855824,-122.25502,Saturday
19091993,THEFT FELONY (OVER $950),LARCENY,1200 SAN PABLO AV,2019-09-21 06:45:00,37.882033,-122.296381,Saturday
19091502,VANDALISM,VANDALISM,600 SAN FERNANDO AVE,2019-07-27 22:00:00,37.898744,-122.276666,Saturday
19065180,IDENTITY THEFT,FRAUD,SAN PABLO AV & DWIGHT WY,2019-11-16 03:58:00,37.861078,-122.289632,Saturday
19059391,BURGLARY AUTO,BURGLARY - VEHICLE,1399 UNIVERSITY AVE,2019-10-19 11:30:00,37.870121,-122.284626,Saturday
19059722,VANDALISM,VANDALISM,2124 BANCROFT,2019-10-19 16:00:00,37.867705,-122.266911,Saturday
19038220,BURGLARY AUTO,BURGLARY - VEHICLE,ALLSTON WY & OXFORD ST,2019-07-13 21:00:00,37.869652,-122.265882,Saturday
19058116,ROBBERY,ROBBERY,HARPER STREET & FAIRVIEW ST,2019-10-12 22:00:00,37.850588,-122.271471,Saturday
19035436,SEXUAL ASSAULT MISD.,SEX CRIME,1500 SHATTUCK AV,2019-06-29 12:00:00,37.880227,-122.26936,Saturday
19056420,THEFT MISD. (UNDER $950),LARCENY,2500 SHATTUCK AV,2019-10-05 12:04:00,37.863811,-122.267412,Saturday
19050597,THEFT FROM AUTO,LARCENY - FROM VEHICLE,900 KEELER AVE,2019-09-07 21:00:00,37.896375,-122.262674,Saturday
19091997,VANDALISM,VANDALISM,1900 CEDAR ST,2019-09-21 00:00:00,37.877822,-122.273697,Saturday
19060970,DISTURBANCE,DISORDERLY CONDUCT,2300 EIGHTH ST,2019-10-26 16:35:00,37.863945,-122.294086,Saturday
19066660,NARCOTICS,DRUG VIOLATION,2000 KITTREDGE ST,2019-11-23 10:01:00,37.868204,-122.270054,Saturday
19065453,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2600 RIDGE RD,2019-11-16 22:00:00,37.876321,-122.258058,Saturday
19047438,BURGLARY AUTO,BURGLARY - VEHICLE,1300 KAINS AV,2019-08-24 20:30:00,37.88052,-122.294842,Saturday
19057990,DISTURBANCE,DISORDERLY CONDUCT,2200 SACRAMENTO ST,2019-10-12 20:25:00,37.867212,-122.281739,Saturday
19091510,IDENTITY THEFT,FRAUD,2300 JEFFERSON AV,2019-07-06 09:00:00,37.866265,-122.278162,Saturday
19064002,VANDALISM,VANDALISM,2800 KELSEY ST,2019-11-09 20:08:00,37.85988,-122.250176,Saturday
19063778,DOMESTIC VIOLENCE,FAMILY OFFENSE,400 GILMAN ST,2019-11-09 10:00:00,37.877863,-122.308855,Saturday
19044200,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1800 SACRAMENTO ST,2019-08-10 12:00:00,37.872847,-122.282313,Saturday
19047366,SEXUAL ASSAULT MISD.,SEX CRIME,2000 BERKELEY WY,2019-08-24 23:45:00,37.872691,-122.270741,Saturday
19059624,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1000 CEDAR ST,2019-10-19 15:00:00,37.874802,-122.29615,Saturday
19091814,THEFT FELONY (OVER $950),LARCENY,1623 VIRGINIA,2019-08-31 21:00:00,37.87528,-122.279217,Saturday
19069437,THEFT FELONY (OVER $950),LARCENY,1800 SOLANO AV,2019-12-07 11:30:00,37.891332,-122.279975,Saturday
19092006,VANDALISM,VANDALISM,1800 CURTIS ST,2019-09-21 22:00:00,37.872104,-122.289812,Saturday
19048974,2ND RESPONSE,NOISE VIOLATION,2400 PARKER ST,2019-08-31 23:31:00,37.863072,-122.260352,Saturday
19091439,BURGLARY AUTO,BURGLARY - VEHICLE,1900 CENTER ST,2019-07-20 06:00:00,37.869685,-122.272804,Saturday
